Topic,Words
82,"0.020*""feel"" + 0.013*""harry"" + 0.013*""say"" + 0.012*""want"" + 0.011*""know"" + 0.010*""ha"" + 0.010*""people"" + 0.010*""one"" + 0.009*""think"" + 0.009*""like"" + 0.009*""back"" + 0.008*""time"" + 0.008*""cooper"" + 0.008*""right"" + 0.007*""see"" + 0.007*""make"" + 0.007*""message"" + 0.007*""start"" + 0.006*""come"" + 0.006*""boy"""
77,"0.021*""ambulance"" + 0.012*""original"" + 0.010*""one"" + 0.010*""cave"" + 0.010*""know"" + 0.008*""people"" + 0.008*""permanent"" + 0.007*""talk"" + 0.007*""parent"" + 0.007*""girl"" + 0.006*""even"" + 0.006*""mean"" + 0.006*""either"" + 0.006*""siren"" + 0.006*""stop"" + 0.006*""inside"" + 0.005*""watching"" + 0.005*""hey"" + 0.005*""virgin"" + 0.005*""talking"""
52,"0.067*""maya"" + 0.016*""carter"" + 0.012*""sin"" + 0.012*""perfection"" + 0.011*""perfect"" + 0.008*""dad"" + 0.008*""way"" + 0.008*""lee"" + 0.007*""feminine"" + 0.007*""look"" + 0.007*""dressing"" + 0.007*""table"" + 0.006*""day"" + 0.006*""prince"" + 0.006*""toga"" + 0.006*""show"" + 0.005*""since"" + 0.005*""thing"" + 0.005*""fake"" + 0.005*""hall"""
16,"0.063*""wa"" + 0.039*""said"" + 0.020*""park"" + 0.016*""like"" + 0.012*""back"" + 0.011*""could"" + 0.010*""got"" + 0.010*""house"" + 0.010*""door"" + 0.008*""going"" + 0.008*""get"" + 0.008*""room"" + 0.007*""go"" + 0.007*""would"" + 0.006*""home"" + 0.006*""even"" + 0.006*""know"" + 0.005*""thought"" + 0.005*""want"" + 0.005*""right"""
5,"0.023*""look"" + 0.021*""black"" + 0.017*""shirt"" + 0.016*""wearing"" + 0.016*""hair"" + 0.015*""like"" + 0.013*""white"" + 0.012*""wear"" + 0.011*""one"" + 0.011*""say"" + 0.009*""party"" + 0.009*""dress"" + 0.008*""eye"" + 0.008*""blue"" + 0.008*""short"" + 0.007*""see"" + 0.007*""dressed"" + 0.007*""hand"" + 0.007*""smile"" + 0.006*""make"""
61,"0.070*""wa"" + 0.026*""like"" + 0.022*""said"" + 0.022*""know"" + 0.014*""would"" + 0.013*""think"" + 0.012*""thing"" + 0.011*""really"" + 0.010*""even"" + 0.010*""could"" + 0.010*""want"" + 0.010*""going"" + 0.009*""never"" + 0.008*""time"" + 0.008*""maybe"" + 0.008*""thought"" + 0.008*""one"" + 0.007*""tell"" + 0.007*""something"" + 0.007*""say"""
95,"0.102*""said"" + 0.018*""back"" + 0.018*""eye"" + 0.017*""hand"" + 0.015*""face"" + 0.014*""like"" + 0.013*""know"" + 0.012*""wa"" + 0.012*""head"" + 0.010*""girl"" + 0.010*""voice"" + 0.009*""right"" + 0.009*""look"" + 0.008*""yeah"" + 0.008*""turned"" + 0.008*""got"" + 0.008*""arm"" + 0.008*""took"" + 0.008*""around"" + 0.007*""get"""
11,"0.013*""get"" + 0.010*""go"" + 0.010*""one"" + 0.010*""want"" + 0.010*""know"" + 0.008*""make"" + 0.008*""time"" + 0.007*""way"" + 0.007*""like"" + 0.007*""good"" + 0.006*""come"" + 0.006*""need"" + 0.006*""could"" + 0.006*""right"" + 0.006*""home"" + 0.005*""little"" + 0.005*""think"" + 0.005*""love"" + 0.005*""much"" + 0.005*""would"""
65,"0.211*""grandma"" + 0.057*""hutch"" + 0.052*""dot"" + 0.029*""clip"" + 0.027*""polka"" + 0.025*""movie"" + 0.013*""circus"" + 0.011*""greenhouse"" + 0.010*""raw"" + 0.008*""dinner"" + 0.008*""normal"" + 0.007*""popularity"" + 0.007*""home"" + 0.007*""juice"" + 0.006*""rose"" + 0.006*""metal"" + 0.006*""came"" + 0.006*""nun"" + 0.006*""film"" + 0.006*""poly"""
29,"0.056*""book"" + 0.046*""read"" + 0.027*""write"" + 0.025*""poem"" + 0.022*""word"" + 0.020*""paper"" + 0.019*""page"" + 0.019*""reading"" + 0.018*""letter"" + 0.018*""writing"" + 0.017*""note"" + 0.017*""wrote"" + 0.014*""class"" + 0.013*""poetry"" + 0.011*""notebook"" + 0.009*""desk"" + 0.009*""written"" + 0.009*""story"" + 0.009*""love"" + 0.008*""name"""
